Date,Cryptofolio_Index,Bitcoin_Index
18-05-2017,16819.29903,1818.7
19-05-2017,16614.85158,1897.37
20-05-2017,17624.28464,1984.24
21-05-2017,18200.82444,2067.03
22-05-2017,18046.98188,2043.19
23-05-2017,19822.7317,2191.56
24-05-2017,20179.83511,2321.37
25-05-2017,17086.34758,2446.24
26-05-2017,16344.62256,2320.89
27-05-2017,15060.61408,2196.27
28-05-2017,16020.15871,2054.08
29-05-2017,16716.57403,2159.43
30-05-2017,16206.93264,2255.36
31-05-2017,17427.63464,2187.19
01-06-2017,20303.499,2288.33
02-06-2017,20518.48278,2404.03
03-06-2017,20617.21115,2493.72
04-06-2017,21326.78753,2547.79
05-06-2017,22093.17362,2512.4
06-06-2017,22373.4982,2690.84
07-06-2017,21319.20085,2869.38
08-06-2017,22541.74135,2720.49
09-06-2017,22919.48027,2807.44
10-06-2017,22424.31328,2828.14
11-06-2017,23864.69853,2942.41
12-06-2017,22244.01589,2953.22
13-06-2017,22244.00922,2680.91
14-06-2017,20609.81822,2716.88
15-06-2017,19746.91713,2499.58
16-06-2017,20453.77605,2469.57
17-06-2017,20453.76296,2514.01
18-06-2017,20270.25535,2655.35
19-06-2017,21407.39528,2549.03
20-06-2017,21017.96889,2591.26
21-06-2017,20336.73536,2709.43
22-06-2017,20263.22767,2691.03
23-06-2017,21351.50169,2707.34
24-06-2017,20391.49937,2738.52
25-06-2017,19533.49273,2607.25
26-06-2017,17872.26119,2590.57
27-06-2017,18192.83053,2478.45
28-06-2017,19040.13399,2553.03
29-06-2017,18271.56753,2567.56
30-06-2017,17838.44215,2539.24
01-07-2017,16789.81115,2492.6
02-07-2017,17353.67047,2436.4
03-07-2017,17938.94261,2498.56
04-07-2017,17938.92036,2561
05-07-2017,17807.84689,2602.87
06-07-2017,17700.28942,2608.1
07-07-2017,15860.0656,2608.59
08-07-2017,16431.6494,2520.27
09-07-2017,15604.43877,2572.61
10-07-2017,13549.88199,2525.25
11-07-2017,12712.06946,2385.89
12-07-2017,14649.04958,2332.77
13-07-2017,14649.01296,2402.7
14-07-2017,13596.81925,2360.59
15-07-2017,13596.751,2230.12
16-07-2017,13596.61449,1991.98
17-07-2017,16298.78296,1932.62
18-07-2017,17445.3548,2233.52
19-07-2017,16098.09644,2323.08
20-07-2017,18925.32707,2269.89
21-07-2017,18733.68592,2838.41
22-07-2017,20436.49371,2668.63
23-07-2017,19691.90002,2808.1
24-07-2017,19887.13223,2732.7
25-07-2017,18016.87953,2757.5
26-07-2017,18022.85857,2577.77
27-07-2017,18398.481,2538.71
